,ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
670,3595,1963,Graduation,Together,"$77,226.00 ",0,1,2/28/14,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0,SP
570,2945,1955,PhD,Together,"$46,015.00 ",1,1,4/13/14,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,CA
39,3767,1968,Graduation,Married,"$61,314.00 ",0,1,4/25/13,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP
1909,1490,1962,Graduation,Married,"$55,759.00 ",0,1,11/28/12,84,675,0,85,10,7,77,5,10,3,8,8,0,0,0,0,0,0,0,CA
2231,8595,1973,Graduation,Widow,"$42,429.00 ",0,1,2/11/14,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,AUS
582,8754,1974,PhD,Together,"$45,068.00 ",0,1,5/16/13,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,SP
2215,9645,1968,Graduation,Married,"$64,590.00 ",0,0,10/14/12,98,920,138,168,36,46,30,1,9,4,10,6,0,0,0,0,0,0,0,SP
1334,701,1971,Graduation,Married,"$73,691.00 ",0,1,11/6/13,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,SP
206,10995,1988,2n Cycle,Married,"$15,716.00 ",1,0,11/12/12,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,SA
107,1631,1965,PhD,Together,"$65,220.00 ",0,0,9/3/12,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
1032,6141,1972,Master,Single,"$49,494.00 ",1,0,4/25/13,46,191,9,97,0,6,82,2,6,1,5,7,0,0,0,0,0,0,0,CA
986,2694,1967,Graduation,Married,"$42,664.00 ",0,1,3/18/14,44,21,0,3,0,0,0,1,1,0,3,6,0,0,0,0,0,0,0,SP
781,6864,1989,Master,Divorced,"$10,979.00 ",0,0,5/22/14,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,AUS
478,2811,1963,PhD,Single,"$48,918.00 ",1,1,4/12/14,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,0,SP
477,2587,1972,PhD,Married,"$29,791.00 ",1,0,5/15/14,21,14,0,6,0,0,0,2,2,0,3,5,0,0,0,0,0,0,0,AUS
300,6853,1982,Master,Single,"$75,777.00 ",0,0,7/4/13,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,0,AUS
1924,6605,1944,PhD,Divorced,"$55,614.00 ",0,0,11/27/13,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,SP
1515,2863,1970,Graduation,Single,,1,2,8/23/13,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,SP
1000,6201,1978,Graduation,Single,"$38,643.00 ",1,1,11/29/13,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,0,1,SP
